"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","FT01 - gestion des comptes","1","0","US01 - création compte","0"
"0","","0","FT01 - gestion des comptes","1","0","US02 - suppression compte","0"
