"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13266","Test 2: Supprimer un compte 2 @git","chromium","Wed Apr 02 10:02:56 UTC 2025","passed","Wed Apr 02 10:03:09 UTC 2025","Tests compte @git","account.spec.ts","",""
"","14431","créer un compte : cas passant @git","chromium","Wed Apr 02 10:02:41 UTC 2025","passed","Wed Apr 02 10:02:56 UTC 2025","Tests compte @git","account.spec.ts","",""
